Metric (UOM),LSL Guideline,USL Guideline,454,91,113,384,128,108,118,506,526,376,558,679,440,Control
TOTAL_PF_READS (Count),,,74162016.0,75156958.0,50626478.0,45417240.0,49267512.0,55585086.0,66682194.0,56471580.0,,,,,,
MEAN_FAMILY_SIZE (Count),,,4.5,23.1,4.7,8.7,11.8,10.9,2.3,2.0,,,,,,
MEDIAN_TARGET_COVERAGE (Count),,,278.0,30.0,176.0,71.0,61.0,50.0,494.0,513.0,,,,,,
PCT_CHIMERIC_READS (%),,,0.24,0.31,0.24,0.42,0.25,0.46,0.11,0.06,,,,,,
PCT_EXON_100X (%),,,96.9,1.0,95.2,22.1,5.6,10.0,98.4,98.2,,,,,,
PCT_READ_ENRICHMENT (%),,,79.1,80.1,77.7,79.9,81.0,77.2,70.0,71.5,,,,,,
PCT_USABLE_UMI_READS (%),,,99.8,99.9,99.8,99.8,99.8,99.8,99.6,99.6,,,,,,
MEAN_TARGET_COVERAGE (Count),,,277.2,34.3,178.0,74.5,61.8,56.6,498.8,502.5,,,,,,
PCT_ALIGNED_READS (%),,,99.0,98.9,98.8,98.2,99.0,98.8,91.9,94.2,,,,,,
PCT_CONTAMINATION_EST (%),,,2.2,15.4,1.8,10.7,11.0,9.5,19.4,15.8,,,,,,
PCT_PF_UQ_READS (%),,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,
PCT_TARGET_0.4X_MEAN (%),,,95.5,85.0,96.8,94.1,95.3,87.3,96.0,95.6,,,,,,
PCT_TARGET_100X (%),,,96.4,1.2,94.1,20.0,5.1,8.9,97.9,97.7,,,,,,
PCT_TARGET_250X (%),,,61.3,0.2,8.7,0.3,0.0,0.5,94.6,94.3,,,,,,
