Metric (UOM),LSL Guideline,USL Guideline,93,813,961,182,457,736,686,95,176,240,438,623,928,140,Genomic_Control,Horizon_Control
TOTAL_PF_READS (Count),,,,,,,,105965494.0,102698768.0,82228588.0,94928070.0,107560402.0,106905814.0,82856632.0,,,,90042478.0
MEAN_FAMILY_SIZE (Count),,,,,,,,5.6,3.9,3.4,4.2,6.0,4.9,3.9,,,,2.9
MEDIAN_TARGET_COVERAGE (Count),,,,,,,,317.0,442.0,364.0,334.0,258.0,329.0,348.0,,,,494.0
PCT_CHIMERIC_READS (%),,,,,,,,0.13,0.11,0.12,0.1,0.15,0.13,0.13,,,,0.08
PCT_EXON_100X (%),,,,,,,,97.8,98.2,98.2,96.9,97.5,97.9,97.4,,,,98.6
PCT_READ_ENRICHMENT (%),,,,,,,,79.0,76.3,74.1,78.3,76.5,75.6,78.7,,,,74.5
PCT_USABLE_UMI_READS (%),,,,,,,,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,,,99.9
MEAN_TARGET_COVERAGE (Count),,,,,,,,305.7,423.2,364.3,348.9,262.8,330.8,333.0,,,,505.1
PCT_ALIGNED_READS (%),,,,,,,,98.9,97.3,96.1,95.5,98.0,98.2,97.0,,,,96.6
PCT_CONTAMINATION_EST (%),,,,,,,,3.8,2.2,7.0,6.6,0.8,0.8,1.1,,,,20.6
PCT_PF_UQ_READS (%),,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0
PCT_TARGET_0.4X_MEAN (%),,,,,,,,96.3,95.9,96.3,93.3,96.4,96.3,95.5,,,,95.8
PCT_TARGET_100X (%),,,,,,,,97.3,97.9,97.5,96.3,96.6,97.4,96.9,,,,98.0
PCT_TARGET_250X (%),,,,,,,,74.9,89.9,88.8,73.9,55.7,84.2,82.3,,,,93.9
